,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
26406,20040630,카우 삼총사,Home On The Range,2004,20040806,장편,개봉,미국,애니메이션,미국,애니메이션,"[{'peopleNm': '윌 핀'}, {'peopleNm': '존 샌포드'}]",월트 디즈니 픽쳐스,2004
26439,20060146,캐리비안의 해적 : 망자의 함,Pirates Of The Caribbean: Dead Man`S Chest,2006,20060706,장편,개봉,미국,"액션,코미디,어드벤처,판타지",미국,액션,[{'peopleNm': '고어 버빈스키'}],월트 디즈니 픽쳐스,2006
26750,20060074,에이트 빌로우,Eight Below,2006,20060406,장편,개봉,미국,"어드벤처,드라마",미국,어드벤처,[{'peopleNm': '프랭크 마샬'}],월트 디즈니 픽쳐스,2006
26762,20040504,리지 맥과이어,The Lizzie Mcguire Movie,2003,20040227,장편,개봉,미국,코미디,미국,코미디,[{'peopleNm': '짐 펄'}],월트 디즈니 픽쳐스,2004
26773,20050364,치킨리틀,Chicken Little,2005,20060126,장편,개봉,미국,"애니메이션,코미디,어드벤처",미국,애니메이션,[{'peopleNm': '마크 딘달'}],월트 디즈니 픽쳐스,2006
26966,20000158,티거무비,The Tigger Movie,2000,20000504,장편,개봉,미국,"애니메이션,코미디",미국,애니메이션,[{'peopleNm': '준 폴켄스타인'}],월트 디즈니 픽쳐스,2000
27375,20000132,마이티 조 영,Maghty Joe Young,1998,20000401,장편,개봉,미국,"어드벤처,가족,판타지",미국,어드벤처,[{'peopleNm': '론 언더우드'}],월트 디즈니 프로덕션,2000
27523,20000200,다이너소어,Dinosaur,2000,20000715,장편,개봉,미국,"애니메이션,어드벤처,가족",미국,애니메이션,"[{'peopleNm': '에릭 레이톤'}, {'peopleNm': '랄프 존다그'}]",월트디즈니컴퍼니코리아(주),2000
27529,19970322,플러버 ,Flubber,1997,19971220,장편,개봉,미국,"코미디,가족,판타지",미국,코미디,[{'peopleNm': '레스 메이필드'}],월트디즈니,1997
27660,20000319,102 달마시안,102 Dalmatians,2000,20001222,장편,개봉,미국,"가족,코미디",미국,가족,[{'peopleNm': '케빈 리마'}],월트 디즈니 픽쳐스,2000
27733,19970201,월트디즈니의 헤라클레스 ,Hercules,1997,19970705,장편,개봉,미국,"애니메이션,어드벤처,가족,판타지",미국,애니메이션,"[{'peopleNm': '론 클레멘츠'}, {'peopleNm': '존 머스커'}]",월트디즈니,1997
27755,19970159,정글2정글 ,Jungle 2 Jungle,1997,19970531,장편,개봉,미국,"코미디,가족",미국,코미디,[{'peopleNm': '존 파스킨'}],월트디즈니,1997
28154,20108120,로빈슨가의 모험,Swiss Family Robinson,1960,19720721,장편,개봉,미국,"가족,어드벤처",미국,가족,[{'peopleNm': '켄 아나킨'}],월트 디즈니 픽쳐스,1972
28159,20108115,대자연의 투쟁,The Hellstrom Chronicle,1971,19720525,장편,개봉,미국,"다큐멘터리,드라마",미국,다큐멘터리,[{'peopleNm': '왈론 그린'}],월트 디즈니 픽쳐스,1972
28161,20108105,털보 대소동,Blackbeard's Ghost,1968,19720408,장편,개봉,미국,"코미디,가족,판타지",미국,코미디,[{'peopleNm': '로버트 스티븐슨'}],월트 디즈니 픽쳐스,1972
28247,20108648,잠자는 숲속의 공주,Sleeping Beauty,1959,19730725,장편,개봉,미국,"판타지,애니메이션,뮤지컬",미국,판타지,[{'peopleNm': '클라이드 제로니미'}],월트 디즈니 픽쳐스,1973
29316,19920388,피터팬,Peter Pan,1992,19921218,장편,개봉,미국,"가족,액션,어드벤처,판타지",미국,가족,"[{'peopleNm': '해밀턴 러스트'}, {'peopleNm': '윌프레드 잭슨'}]",월트디즈니,1992
