,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
6122,20183813,결백,Innocence,2019,20200610,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '박상현'}],(주)이디오플랜,2020
6123,20198978,갈까부다,Wish You Were Here,2018,20190901,장편,개봉,한국,"다큐멘터리,가족,멜로/로맨스",한국,다큐멘터리,[{'peopleNm': '고봉수'}],주식회사 씨엠닉스,2019
6124,20193069,#살아있다,#ALIVE,2019,20200624,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '조일형'}],영화사 집,2020
6127,20208595,얼굴없는 보스: 못다한 이야기 감독판,,2019,20200513,장편,개봉,한국,"범죄,드라마",한국,범죄,[{'peopleNm': '임성용'}],(주)좋은 하늘,2020
6128,20176061,푸른노을,Magic hour,2017,20171123,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '박규식'}],(주)마이더스필름,2017
6129,20157465,그놈이다,FATAL INTUITION,2015,20151028,장편,개봉,한국,스릴러,한국,스릴러,[{'peopleNm': '윤준형'}],상상필름(주),2015
6130,20209369,처제의 은밀한 맛,,2020,20201217,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '윤경식'}],(주)픽쳐레스크,2020
6131,20190385,웃는남자 감독판,,2018,20191129,장편,개봉,한국,공연,한국,공연,[{'peopleNm': '김수기'}],(주)디지컴코리아엠앤엠,2019
6132,20195920,가장 보통의 연애,Crazy Romance,2019,20191002,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,[{'peopleNm': '김한결'}],영화사 집,2019
6133,20183072,어멍,Eomung,2018,20191121,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '고훈'}],(주)로드픽쳐스,2019
6134,20186647,청춘빌라 살인사건,Dogs in the House,2018,20200102,장편,개봉,한국,"코미디,범죄,드라마",한국,코미디,[{'peopleNm': '신해강'}],(주)메가폰엔터테인먼트,2020
6135,20198182,아내를 죽였다,Killed My Wife,2019,20191211,장편,개봉,한국,"스릴러,액션",한국,스릴러,[{'peopleNm': '김하라'}],단테미디어랩,2019
6136,20194621,아직 사랑하고 있습니까?,HOW TO LIVE IN THIS WORLD,2019,20191204,장편,개봉,한국,코미디,한국,코미디,[{'peopleNm': '신양중'}],(주)스튜디오후크,2019
6138,20181205,영하의 바람,Sub-zero Wind,2018,20191114,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '김유리'}],비밀의화원,2019
6139,20196705,집 이야기,I Am Home,2019,20191128,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '박제범'}],(주)영화사지음,2019
6140,20184341,얼굴없는 보스,The Faceless Boss,2019,20191121,장편,개봉,한국,"액션,드라마",한국,액션,"[{'peopleNm': '송창용'}, {'peopleNm': '송경용'}]",(주)좋은 하늘,2019
6141,20183041,삼촌,The Uncle,2017,20191128,장편,개봉,한국,"미스터리,스릴러",한국,미스터리,[{'peopleNm': '김형진'}],영화사 진,2019
6143,20181164,카센타,NAILED,2019,20191127,장편,개봉,한국,"범죄,코미디",한국,범죄,[{'peopleNm': '하윤재'}],팔팔애비뉴(주),2019
6144,20190549,잊지 않았어요,,2019,20200101,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '박용철'}],청개구리필름,2020
6145,20196781,우리를 갈라놓는 것들,Things That Do Us Part,2019,20191128,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '임흥순'}],반달,2019
6146,20199781,지금 이순간,,2019,20191212,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이수성'}],㈜리필름,2019
6147,20198435,첫잔처럼,,2019,20191011,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '백승환'}],(주)백그림,2019
6148,20190164,더하우스,,2019,20191212,장편,개봉,한국,"스릴러,미스터리,공포(호러)",한국,스릴러,[{'peopleNm': '박균이'}],(주)뉴버드,2019
6149,20202436,캠핑촌 아내,,2020,20201217,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '최정자'}],주식회사 플릭스코,2020
6152,20203263,장모의 마사지 - 무삭제,,2020,20201216,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6164,19950332,쇼걸,Show Girls,1995,19951118,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '폴 버호벤'}],카롤코 픽쳐스,1995
6165,20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,2019,20190911,장편,개봉,한국,"범죄,액션",한국,범죄,[{'peopleNm': '손용호'}],(주)씨제이이엔엠,2019
6166,20203125,은밀한 스와핑,,2020,20201212,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '판'}],(주)영진크리에이티브,2020
6167,20202926,처제길들이기,,2020,20201211,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '패콘'}],주식회사 패콘,2020
6168,20202858,여친의 새엄마,,2020,20201211,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6169,20181092,디어 마이 지니어스,Dear My Genius,2018,20201022,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '구윤주'}],오엠지프로덕션,2020
6177,20209746,초대녀 3,,2020,20201210,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김종석'}],모히또필름,2020
6178,20183782,기생충,PARASITE,2019,20190530,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '봉준호'}],(주)바른손이앤에이,2019
6183,20208361,머리카락,Escape the Corset,2019,20201210,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '이미해'}],스튜디오 파동,2020
6186,20203156,내 누나는 야설작가 - 무삭제,,2020,20201209,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],스마일컨텐츠,2020
6187,20000152,바스켓볼 다이어리,Basketball Diaries,1995,20000429,장편,개봉,미국,"범죄,드라마",미국,범죄,[{'peopleNm': '스콧 칼벳'}],뉴라인 시네마,2000
6188,20203155,18 출사녀 화진의 미친 섹스,,2020,20201207,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6199,20196676,종이꽃,Paper Flower,2019,20201022,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '고훈'}],(주)로드픽쳐스,2020
6208,20201446,공짜섹스,,2020,20201123,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6213,20169728,알피니스트 - 어느 카메라맨의 고백 ,Alpinist,2019,20201015,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"[{'peopleNm': '임일진'}, {'peopleNm': '김민철'}]",(주)민치앤필름,2020
6215,20208828,불량한 가족,Road Family,2019,20200709,장편,개봉,한국,"코미디,드라마",한국,코미디,[{'peopleNm': '장재일'}],(주)발자국 공장,2020
6216,20173761,犬견 : 버려진 아이들,,2019,20201018,장편,개봉,한국,"범죄,스릴러",한국,범죄,[{'peopleNm': '서하늘'}],바라봄엔터테인먼트\t,2020
6220,20202728,맛있는 세자매 2 - 무삭제,,2020,20201202,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '천성준'}],(주)케이피에이기획,2020
6221,20203605,마누라 공유하기 - 무삭제판,,2020,20201202,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '계장혁'}],모히또필름,2020
6222,20090914,하모니,Harmony,2009,20100128,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '강대규'}],(주)제이케이필름,2010
6223,20206291,피원에이치 : 새로운 세계의 시작 ,P1H,2019,20201008,장편,개봉,한국,"드라마,SF",한국,드라마,[{'peopleNm': '창'}],(주)에프엔씨스토리,2020
6224,20123681,뽀로로 극장판 슈퍼썰매 대모험,Pororo: The Racing Adventure,2012,20130123,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '박영균'}],(주)오콘,2013
6227,20190621,죽지않는 인간들의 밤,Night of the Undead,2019,20200929,장편,개봉,한국,"코미디,스릴러",한국,코미디,[{'peopleNm': '신정원'}],(주)브라더픽쳐스,2020
6228,20202176,예민한 모녀 무삭제판,,2020,20201130,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '성운아'}],(주)픽쳐레스크,2020
6229,20200087,백신 모유를 가진 그녀,,2020,20201129,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6230,20202435,여동생의 맛,,2020,20201127,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6231,20202266,볼빨간 형수님,,2020,20201127,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '최성은'}],(주)영화사히트,2020
6232,20202250,볼빨간 여동생,,2020,20201127,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '최성은'}],(주)영화사히트,2020
6234,20209011,어린 작은엄마 무삭제,,2020,20201124,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최민현'}],(주)영화사가을,2020
6235,20201374,비뇨기과 여의사들 3,,2020,20201124,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '조태호'}],(주)영화사가을,2020
